,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p,16_n,16_p,17_n,17_p,18_n,18_p,19_n,19_p,20_n,20_p,21_n,21_p
74,WBGene00015955,7.031270752295776e-76,WBGene00008682,2.2812871058728023e-16,WBGene00001844,3.7406293079897876e-16,WBGene00003844,1.748730272226392e-43,WBGene00000898,7.24230293772945e-61,WBGene00000836,4.669131181308789e-77,WBGene00010677,2.7031120386891407e-59,WBGene00018776,1.0248425500383383e-21,WBGene00018891,2.763844704216207e-123,WBGene00001748,5.1426234734739295e-12,WBGene00020181,5.897551217705407e-08,WBGene00002036,1.7085901652179635e-19,WBGene00004466,8.946811978982798e-05,WBGene00000102,1.1999308656735618e-11,WBGene00022271,0.00017865514655535035,WBGene00021320,2.1511807579012484e-70,WBGene00015146,5.232366357546663e-13,WBGene00007860,2.9651783194573656e-05,WBGene00015237,0.0013803644900781886,WBGene00004704,2.84422253719442e-20,WBGene00002223,2.7980443585362117e-07,WBGene00001038,3.4514521937275524e-08
75,WBGene00013028,1.9682944518289145e-75,WBGene00022042,9.20592585018674e-16,WBGene00004423,5.676719251509179e-16,WBGene00015734,2.2886358927074803e-43,WBGene00001258,1.4910643518204369e-60,WBGene00006751,1.3502161192983707e-76,WBGene00022738,4.151108554974038e-59,WBGene00021294,1.4466755893179739e-21,WBGene00006964,1.525094384510612e-122,WBGene00003878,6.244508322016118e-12,WBGene00010665,6.397626607242422e-08,WBGene00000102,2.5089403803923535e-19,WBGene00007000,9.045150751171017e-05,WBGene00022765,1.2064956092361084e-11,WBGene00008780,0.00018159170645368276,WBGene00018849,3.1058979158111416e-70,WBGene00000156,5.428655332597554e-13,WBGene00006508,3.3128373783720845e-05,WBGene00001073,0.0013916779900476767,WBGene00018319,1.025055910952416e-19,WBGene00003073,2.967264405437107e-07,WBGene00020821,4.837079653548691e-08
76,WBGene00018304,6.15690237558019e-75,WBGene00000293,1.961998873391921e-15,WBGene00007385,9.180593022898787e-16,WBGene00016162,5.606212350317471e-43,WBGene00006823,3.6882751625100163e-60,WBGene00006468,4.4128570655105864e-76,WBGene00010813,6.131978137592816e-59,WBGene00012359,6.822284062429286e-21,WBGene00003924,1.7068562693464155e-122,WBGene00000843,6.653653132050572e-12,WBGene00006596,7.148283429453742e-08,WBGene00014151,2.560402285963728e-19,WBGene00016907,9.708509474261085e-05,WBGene00017430,1.3937530569813348e-11,WBGene00007175,0.0001949964332350842,WBGene00020142,3.408721601061769e-70,WBGene00022019,6.522522454183257e-13,WBGene00000201,3.359936776689258e-05,WBGene00002189,0.0014405784724969904,WBGene00004895,1.2409285154728247e-19,WBGene00003858,3.484493769441108e-07,WBGene00011230,5.1086876786986775e-08
77,WBGene00000281,1.3655163298632274e-74,WBGene00012813,2.1085704358499288e-15,WBGene00010890,1.4471303188299836e-15,WBGene00019693,6.373966301767032e-43,WBGene00019893,4.4236367026820696e-60,WBGene00006479,7.071377150914951e-75,WBGene00003063,1.6139286988979243e-58,WBGene00000230,7.36142965801899e-21,WBGene00006616,2.455253489467675e-122,WBGene00003951,2.5225507083840843e-11,WBGene00013577,7.741884844216051e-08,WBGene00019209,2.776174619841339e-19,WBGene00009174,0.00011451782309220228,WBGene00001574,1.4215125681841343e-11,WBGene00001101,0.00019557647693731076,WBGene00000281,6.181318239539619e-70,WBGene00006503,7.591305690411378e-13,WBGene00013034,3.39724012704485e-05,WBGene00020821,0.0014785356015706206,WBGene00013020,1.9873794225750985e-19,WBGene00001137,3.877765397612738e-07,WBGene00021427,5.118372025688207e-08
78,WBGene00001284,3.609653851969563e-74,WBGene00002957,3.4025717083906832e-15,WBGene00022042,2.222306569917062e-15,WBGene00021888,7.424008631765392e-43,WBGene00014202,7.996886929302621e-60,WBGene00004758,1.5721951715362424e-73,WBGene00021752,1.9649106750989235e-57,WBGene00004091,8.5908426670933e-21,WBGene00019334,3.7692611991139e-122,WBGene00010478,2.5968307770214868e-11,WBGene00004766,1.017556209883151e-07,WBGene00018187,2.9692532682220933e-19,WBGene00006512,0.00011456193884466402,WBGene00019061,1.7877806881016093e-11,WBGene00011953,0.00025708771676714225,WBGene00003978,9.264201048284165e-70,WBGene00006708,8.217157549874818e-13,WBGene00018426,3.434094630662849e-05,WBGene00008480,0.001563047421554293,WBGene00015581,2.83863716588428e-19,WBGene00019061,4.798804024366782e-07,WBGene00006575,5.5621789023482766e-08
79,WBGene00006843,3.866616851458082e-74,WBGene00002025,3.445489583422752e-15,WBGene00002191,2.7679129453079527e-15,WBGene00001225,2.3304822579350748e-42,WBGene00018604,8.049668901567305e-60,WBGene00011559,2.8944496081427165e-72,WBGene00010419,1.0117619777210997e-56,WBGene00004271,1.2664364630805447e-20,WBGene00002196,5.397550296602104e-122,WBGene00014208,2.7056577781329325e-11,WBGene00009996,1.3414704473093484e-07,WBGene00044077,3.1345440605535697e-19,WBGene00001827,0.00013400920371564514,WBGene00000376,1.825396191492327e-11,WBGene00002250,0.0002601239268529784,WBGene00007111,1.0277636776862681e-69,WBGene00018304,9.405371403468821e-13,WBGene00006823,4.322696303634133e-05,WBGene00011344,0.0015983811699222855,WBGene00018467,3.927174397103712e-19,WBGene00014119,5.279275524823943e-07,WBGene00044079,5.906043828454936e-08
80,WBGene00000837,1.2176462834463087e-73,WBGene00018846,6.050244743560441e-15,WBGene00001227,4.9242540686811795e-15,WBGene00001431,3.4145480333073595e-42,WBGene00016509,1.1768385080370424e-59,WBGene00015743,3.846707089206782e-72,WBGene00004207,1.1095919247992168e-56,WBGene00004460,1.4391046798906942e-20,WBGene00017045,1.4966545213897285e-121,WBGene00004032,4.319772030910606e-11,WBGene00003567,1.3777088646509603e-07,WBGene00019893,3.2241789617694476e-19,WBGene00015927,0.00013929086362912528,WBGene00017316,1.865823244111704e-11,WBGene00010713,0.000262591891185674,WBGene00003516,1.1241966124412287e-69,WBGene00021327,1.579397497672067e-12,WBGene00003086,4.495757996373318e-05,WBGene00014151,0.0016942466152817107,WBGene00001008,4.563222037824531e-19,WBGene00003772,7.84770079850965e-07,WBGene00020770,5.938742573742438e-08
81,WBGene00002694,3.2570710792955046e-73,WBGene00016140,9.241118419351341e-15,WBGene00000148,1.4751756382324192e-14,WBGene00013518,6.040873415471547e-42,WBGene00014151,1.7181100972454502e-59,WBGene00004077,1.3815294296974626e-71,WBGene00000229,1.4678347533275682e-56,WBGene00021009,2.4600433721354752e-20,WBGene00019004,1.5381507941936956e-121,WBGene00001604,4.5699834760055057e-11,WBGene00014119,1.448507891036262e-07,WBGene00002070,3.893606645365231e-19,WBGene00004448,0.00013947869531384872,WBGene00000898,1.867454350958521e-11,WBGene00044061,0.0002886973663570501,WBGene00000962,2.627388827185019e-69,WBGene00003036,1.6737627686089234e-12,WBGene00009477,4.8613973611157404e-05,WBGene00004788,0.0017749923801699766,WBGene00004358,5.403945129217972e-19,WBGene00004215,8.64390930489377e-07,WBGene00006324,6.408039235251322e-08
82,WBGene00021346,5.164166440449389e-73,WBGene00021752,2.1393904298122367e-14,WBGene00009122,3.4514027459445355e-14,WBGene00007330,2.713279048453456e-41,WBGene00004268,6.008010345026943e-59,WBGene00044077,1.0981730928329455e-70,WBGene00012676,2.676678164699253e-56,WBGene00015301,2.5481810368720622e-20,WBGene00018304,2.4087243853158924e-121,WBGene00015525,4.665987237579876e-11,WBGene00003953,2.0369068874105023e-07,WBGene00000911,4.802107567581064e-19,WBGene00002998,0.00014133707877813506,WBGene00008682,2.258473716245522e-11,WBGene00010130,0.0003359125666605201,WBGene00015248,3.275570362610585e-69,WBGene00022378,1.8877315345133115e-12,WBGene00014151,4.8692088835968645e-05,WBGene00021629,0.001779203991477991,WBGene00016333,6.173762923873601e-19,WBGene00006433,9.706482548546082e-07,WBGene00006919,7.974407774617486e-08
83,WBGene00002074,6.577079359817553e-72,WBGene00012393,2.4320699410739112e-14,WBGene00004015,4.089844043091293e-14,WBGene00022599,3.0872087068423066e-41,WBGene00006497,1.6617773519512583e-58,WBGene00017045,5.5043531002606825e-70,WBGene00019162,1.2541703744138297e-55,WBGene00018788,5.455535078282349e-20,WBGene00003393,2.4239871598047165e-121,WBGene00006768,5.746313172897296e-11,WBGene00013597,2.143346746280169e-07,WBGene00017316,7.103347209254687e-19,WBGene00010044,0.00014566788900167803,WBGene00000911,2.3285604878472764e-11,WBGene00020383,0.0003371073206045996,WBGene00001235,5.617023194205252e-69,WBGene00012389,2.3781699368905247e-12,WBGene00000018,4.874097126199479e-05,WBGene00016889,0.0018202747788747587,WBGene00004355,7.229096531982637e-19,WBGene00004091,1.1029250616597544e-06,WBGene00001794,1.0173395989677497e-07
84,WBGene00015470,1.3980080304664918e-71,WBGene00044321,4.626151227980343e-14,WBGene00006856,5.609894077906732e-14,WBGene00003927,3.956051147070134e-41,WBGene00003794,1.9770448868573423e-58,WBGene00003373,2.5028380123725545e-68,WBGene00018849,1.8847897672419184e-55,WBGene00017373,8.268755986596145e-20,WBGene00020146,3.352322173025061e-121,WBGene00001196,6.874521383830907e-11,WBGene00006479,2.3573106870044068e-07,WBGene00006823,7.185398643260105e-19,WBGene00004015,0.00016805901837784487,WBGene00009452,2.5110438724274897e-11,WBGene00018890,0.00033911090458577325,WBGene00022531,6.328884911244843e-69,WBGene00017734,2.584926102253028e-12,WBGene00018872,4.984421099858214e-05,WBGene00016278,0.0018679894657641655,WBGene00000996,7.576160592031417e-19,WBGene00019305,1.2094493139004694e-06,WBGene00002247,1.1747134386507922e-07
85,WBGene00006373,4.345108463032371e-71,WBGene00003794,5.994815399893069e-14,WBGene00015778,9.283310133289761e-14,WBGene00006494,2.9436990306211895e-40,WBGene00002202,2.2086011731637548e-58,WBGene00017671,2.4639834807295055e-66,WBGene00000377,4.5964445483721045e-55,WBGene00001262,1.209827072697897e-19,WBGene00022400,3.6086814183870918e-121,WBGene00008876,7.91343886848359e-11,WBGene00014202,3.463331134810798e-07,WBGene00004274,7.34253309065254e-19,WBGene00017316,0.00019440033867284843,WBGene00002038,2.869184106991428e-11,WBGene00010844,0.0003445402587274455,WBGene00022434,1.5771562212831865e-68,WBGene00000160,2.838497633335583e-12,WBGene00011116,5.237909999295124e-05,WBGene00006823,0.0019110116105803905,WBGene00001560,8.423329438568063e-19,WBGene00002189,1.4001803678257565e-06,WBGene00004363,1.3157449550434153e-07
86,WBGene00009542,5.682858044494159e-71,WBGene00009958,7.788403561453814e-14,WBGene00010627,1.0835406708403824e-13,WBGene00001405,3.063678404178662e-40,WBGene00020437,3.0327352739406292e-58,WBGene00017016,5.939727739359898e-66,WBGene00004706,5.234078697047686e-55,WBGene00022119,1.4790923799184787e-19,WBGene00018290,8.315085753961517e-121,WBGene00006913,8.507959820813686e-11,WBGene00020443,3.8082238244389307e-07,WBGene00004755,9.362443016504615e-19,WBGene00004486,0.000204605617370521,WBGene00018847,2.878671946398151e-11,WBGene00013606,0.00037786493967534887,WBGene00004184,1.7542893467503086e-68,WBGene00003949,3.835158551028702e-12,WBGene00021910,5.4162317815289494e-05,WBGene00002070,0.0019382016906309442,WBGene00015146,8.559892850311893e-19,WBGene00001748,1.4422499044027401e-06,WBGene00022765,1.3165225119985497e-07
87,WBGene00006773,1.011126806102796e-70,WBGene00018837,1.3914745159668364e-13,WBGene00017605,1.2901423984007966e-13,WBGene00009992,3.167503116663849e-39,WBGene00019209,8.636601074392392e-58,WBGene00003009,7.793923358306721e-66,WBGene00015811,1.82134574874825e-54,WBGene00003878,1.5727827422951418e-19,WBGene00004286,4.848458930895969e-120,WBGene00011897,8.539008984348615e-11,WBGene00004462,3.9129719329681607e-07,WBGene00020114,9.84317611115957e-19,WBGene00010736,0.00023672611949843717,WBGene00007588,2.941652621148695e-11,WBGene00009664,0.00040235978980302385,WBGene00001225,2.0526472744853203e-68,WBGene00000200,4.44611688947573e-12,WBGene00018756,5.8592904085578236e-05,WBGene00015470,0.0019698408492849115,WBGene00013969,9.5849084696975e-19,WBGene00006460,1.499291691281693e-06,WBGene00000226,1.3167817964193203e-07
88,WBGene00004912,2.1468722746528316e-70,WBGene00020443,7.187531608333739e-13,WBGene00044321,3.134853560744814e-13,WBGene00011510,5.6323017469441475e-39,WBGene00000102,5.545453719801914e-57,WBGene00016002,1.4129439983162438e-65,WBGene00020827,6.84510153469777e-54,WBGene00006746,1.586845258650092e-19,WBGene00018075,4.4235921434720163e-119,WBGene00009542,9.149250032486622e-11,WBGene00001056,4.4962978207900037e-07,WBGene00004268,1.069373680188437e-18,WBGene00009996,0.0002672470224683347,WBGene00014202,3.6677844448365844e-11,WBGene00016162,0.0004063812521004007,WBGene00010813,2.338911718088258e-68,WBGene00004749,4.492516857947307e-12,WBGene00020821,6.022814465968889e-05,WBGene00013223,0.0020195089352690056,WBGene00017797,1.2849619547803095e-18,WBGene00011240,1.538306092384595e-06,WBGene00014151,1.5590549764089599e-07
89,WBGene00007645,3.725231836298655e-70,WBGene00019543,1.0754708469079691e-12,WBGene00001945,3.213229967856501e-13,WBGene00010326,7.964438972448393e-39,WBGene00004274,1.281390300076535e-56,WBGene00008143,2.658925839625311e-65,WBGene00044321,7.669028190857426e-54,WBGene00001983,1.7264745825381988e-19,WBGene00016653,2.1717488401920473e-118,WBGene00001094,1.018550903129999e-10,WBGene00021334,4.859780621843359e-07,WBGene00019748,1.4540445998418596e-18,WBGene00003947,0.0002993696109819275,WBGene00010478,3.693742859263112e-11,WBGene00004410,0.0004944033265591263,WBGene00011814,4.949417203598574e-68,WBGene00019334,5.66025790333776e-12,WBGene00007055,7.151920890761726e-05,WBGene00018847,0.0020302503434728373,WBGene00000289,1.5075291346943491e-18,WBGene00015413,1.6390487904701182e-06,WBGene00000793,1.821212209726415e-07
90,WBGene00009672,5.733266640915842e-70,WBGene00022599,1.3173500306806619e-12,WBGene00011142,4.2266308583489846e-13,WBGene00002045,1.438566034908068e-38,WBGene00007055,1.659695758416282e-56,WBGene00020572,9.085108608801497e-65,WBGene00008729,1.0259965570769709e-53,WBGene00001443,2.103365688720555e-19,WBGene00003953,2.277000415017082e-118,WBGene00003953,1.302347870522967e-10,WBGene00003878,5.606449754007244e-07,WBGene00006839,1.7337206272614123e-18,WBGene00004895,0.0003394056052565393,WBGene00018187,3.8993788567487616e-11,WBGene00000376,0.0005010973025629466,WBGene00004978,6.140323784940866e-68,WBGene00004912,5.6906662408982234e-12,WBGene00007703,7.175020019245102e-05,WBGene00001258,0.002053388073456448,WBGene00007955,2.6271751655292992e-18,WBGene00015553,1.6586555320940854e-06,WBGene00019893,2.1568703046385273e-07
91,WBGene00006503,1.1806416040607098e-69,WBGene00003034,1.330707200216515e-12,WBGene00021752,6.50460581856582e-13,WBGene00000224,1.5316424503500876e-38,WBGene00044077,3.317692820675499e-56,WBGene00021595,1.6250771084508495e-63,WBGene00000816,1.445234156323284e-53,WBGene00021506,2.5572605723154805e-19,WBGene00004392,3.028960863015411e-118,WBGene00021831,1.5378002707224314e-10,WBGene00001488,6.66160897405756e-07,WBGene00000018,1.8405371520945646e-18,WBGene00004465,0.00038777583619622026,WBGene00020437,5.010903085791366e-11,WBGene00015326,0.0005413332141984671,WBGene00001860,1.158671540631285e-67,WBGene00015251,5.989937521508084e-12,WBGene00000793,7.441400878550953e-05,WBGene00000908,0.0022121808856387323,WBGene00020572,3.2303641682981647e-18,WBGene00003156,1.6628582491998348e-06,WBGene00000146,2.1662219853001284e-07
92,WBGene00003172,1.523846434456653e-69,WBGene00010896,5.4021861707417516e-12,WBGene00006924,1.2295042820396418e-12,WBGene00020216,2.2306743026592398e-38,WBGene00017699,5.16619785854302e-56,WBGene00011232,9.918918874484096e-62,WBGene00004296,2.8644613281032204e-53,WBGene00003953,3.688779825513548e-19,WBGene00010629,1.779537341239034e-117,WBGene00010809,1.6433213708081868e-10,WBGene00015955,7.765560093885535e-07,WBGene00022765,2.3469983688045786e-18,WBGene00004762,0.0003935538029774504,WBGene00010641,5.378273691339255e-11,WBGene00000869,0.0005730496406707144,WBGene00006479,1.2712873137678013e-67,WBGene00016846,6.522932254243966e-12,WBGene00006498,7.622760762984978e-05,WBGene00019748,0.0022425057004358084,WBGene00004884,4.03381619674755e-18,WBGene00000217,1.6878931738197169e-06,WBGene00015525,2.1999011902925806e-07
93,WBGene00013020,2.5152115363412756e-69,WBGene00014021,5.801179199919742e-12,WBGene00002010,1.3171620578035318e-12,WBGene00009122,8.867554196783841e-38,WBGene00006839,5.225106839020913e-56,WBGene00000464,1.5303299863514459e-61,WBGene00004015,1.96181285161285e-52,WBGene00020146,4.718226589756051e-19,WBGene00022059,2.14383497325298e-117,WBGene00001008,1.906788896898507e-10,WBGene00004749,8.375186245303111e-07,WBGene00014202,2.621110652186437e-18,WBGene00015778,0.0003995217939715201,WBGene00012894,5.431949577390468e-11,WBGene00018271,0.000613857594683534,WBGene00017929,1.803674555009669e-67,WBGene00000369,9.01759034549358e-12,WBGene00009584,7.944799697507471e-05,WBGene00013667,0.0022991361336467467,WBGene00007055,5.309906080502024e-18,WBGene00009628,1.9870283809335542e-06,WBGene00008480,2.5980621456420634e-07
94,WBGene00012033,2.6521532408073326e-69,WBGene00020779,7.45260572294973e-12,WBGene00004184,5.434588876563231e-12,WBGene00001685,7.3705624684958386e-37,WBGene00000376,5.983116764805729e-56,WBGene00022280,1.5573381465361023e-61,WBGene00019323,1.1192565932713849e-51,WBGene00003951,1.0546981982716671e-18,WBGene00004705,2.518506820583675e-117,WBGene00008685,2.1391635266252166e-10,WBGene00010890,1.0632016469585341e-06,WBGene00013025,2.870754806848228e-18,WBGene00004426,0.0004184749220905542,WBGene00021910,5.5740902045649284e-11,WBGene00006839,0.000623854478244661,WBGene00003569,3.992613811666553e-67,WBGene00003948,1.1715680011579218e-11,WBGene00001574,8.113294904023786e-05,WBGene00001744,0.00232886878547436,WBGene00020111,7.089582915520055e-18,WBGene00004357,2.478717980776665e-06,WBGene00004788,2.6223458923016835e-07
95,WBGene00003036,5.173564334967206e-69,WBGene00008919,1.3768136493032622e-11,WBGene00004917,8.322821111834688e-12,WBGene00004245,1.0436911681349975e-36,WBGene00000911,6.04085714785475e-56,WBGene00007801,1.959497860763288e-61,WBGene00004459,4.3090057287439466e-51,WBGene00014015,1.949346973489854e-18,WBGene00021854,4.432586207504698e-117,WBGene00000292,2.654629634128255e-10,WBGene00000293,1.2651501353469731e-06,WBGene00004259,3.239045256009738e-18,WBGene00001227,0.000442637827758054,WBGene00001744,5.901991257050079e-11,WBGene00020417,0.0006572400656047028,WBGene00013343,8.122633300550075e-67,WBGene00000041,1.3995650128477334e-11,WBGene00015301,8.259343285504882e-05,WBGene00016117,0.002333651463538486,WBGene00006364,7.206476559039377e-18,WBGene00002632,2.8140647329919864e-06,WBGene00016509,2.6894430703003667e-07
96,WBGene00021753,2.3246228365873722e-68,WBGene00004259,1.3913276242594943e-11,WBGene00019543,9.113499620094489e-12,WBGene00003878,1.3087330772714314e-36,WBGene00004259,9.006425140327773e-56,WBGene00000892,4.64536338317963e-61,WBGene00012393,5.714774940107507e-51,WBGene00001025,2.7281155578906526e-18,WBGene00004296,7.95797934006093e-117,WBGene00022401,2.915794129060165e-10,WBGene00017316,1.3124975709268717e-06,WBGene00017699,4.3844248205696294e-18,WBGene00004461,0.0004742772434390378,WBGene00008502,6.6764873365287e-11,WBGene00001840,0.0006783847979421637,WBGene00000490,1.0642933522924356e-66,WBGene00019301,1.8799586381726914e-11,WBGene00003567,8.349724120455243e-05,WBGene00012868,0.0025281998364657574,WBGene00003893,9.060863547843686e-18,WBGene00018701,3.274243583150595e-06,WBGene00000464,3.0201610482277356e-07
97,WBGene00001620,7.806450927052843e-68,WBGene00001840,1.6023225728298615e-11,WBGene00006887,1.1693137530093728e-11,WBGene00020142,7.12448329643301e-36,WBGene00002078,1.2360600531715549e-55,WBGene00001627,5.5828349544570725e-61,WBGene00021088,1.2117496103109222e-50,WBGene00003924,3.877543495133269e-18,WBGene00003815,1.372977180454277e-116,WBGene00004411,3.0427150277560774e-10,WBGene00008532,1.3583345831251739e-06,WBGene00006497,4.697074593221664e-18,WBGene00004296,0.000490584185287449,WBGene00012386,7.054525651397234e-11,WBGene00015064,0.0007507505890581432,WBGene00008386,1.0839818371567094e-66,WBGene00003214,1.9281831998984185e-11,WBGene00000869,8.397719304349281e-05,WBGene00022358,0.00255195858287151,WBGene00019326,1.2820057230209238e-17,WBGene00013020,3.4700083825262717e-06,WBGene00002192,3.027110022040362e-07
98,WBGene00001612,1.0890594267767221e-67,WBGene00001744,1.9517072949048968e-11,WBGene00021248,1.1906394812465847e-11,WBGene00000880,1.5591126796900155e-35,WBGene00002070,3.036135852097848e-55,WBGene00013326,6.607108640520423e-61,WBGene00000550,1.449292739097758e-50,WBGene00015470,4.3383015406522476e-18,WBGene00000160,2.3933650914820464e-116,WBGene00008140,3.1094261596748123e-10,WBGene00001017,1.4068974757024725e-06,WBGene00012934,5.005609914943595e-18,WBGene00006856,0.0006093708284401368,WBGene00007050,8.21198417064002e-11,WBGene00002247,0.000805467482267556,WBGene00010736,1.1528326124010201e-66,WBGene00004703,1.9520797000686707e-11,WBGene00013223,8.92337898823657e-05,WBGene00014098,0.002729488232976874,WBGene00016500,2.030081387833506e-17,WBGene00004910,3.880697085028863e-06,WBGene00016739,3.4583260170321864e-07
99,WBGene00012359,1.0333445260442231e-66,WBGene00017724,2.429211403261672e-11,WBGene00022599,1.5205510429700968e-11,WBGene00019322,2.299174500567675e-35,WBGene00007175,3.771305395830539e-55,WBGene00012765,2.242178515398001e-60,WBGene00004014,5.308910955188979e-50,WBGene00011116,4.559649839740457e-18,WBGene00011527,6.775272735213247e-115,WBGene00011527,3.18157861699514e-10,WBGene00001489,1.4910089236543974e-06,WBGene00000226,6.227013896943004e-18,WBGene00013218,0.0006394504063325004,WBGene00017699,8.246374402610885e-11,WBGene00004424,0.0008412160293897941,WBGene00016995,1.3608839194431034e-66,WBGene00004913,2.094891904264103e-11,WBGene00009812,9.068717846406268e-05,WBGene00012337,0.002758170010141243,WBGene00015691,2.1298665506826318e-17,WBGene00015064,3.97809044697325e-06,WBGene00012868,3.7609317923352684e-07
